States,ID,Year,ID+Year,Previous,Next,Sucide_number,Sucide_Rate,Sucide_Age_adjected_rate,Past_Oriented,Future_Oriented,GSP,percapitapersonalincome,population,populationgrowthrate,unemploymentrate,Atkinson Index,Gini_Coefficient,Relative Mean Deviation,Theil Index,Top 10%,Top 1%,co2,so2,nox,presidential_election,q_climate_change,q_global_warming,q_recycling,q_disposable,nuclear_ratio,coal_ratio,geothermal_ratio,hydroelectricconventional_ratio,naturalgas_ratio,solarthermalandphotovoltaic_rati,wind_ratio,petroleum_ratio,otherbiomass_ratio,other_ratio,othergases_ratio,pumpedstorage_ratio,woodandwoodderivedfuels_ratio,electricityprice
Montana,27,2005,272005,84,77,206,22,21.5,1.090909091,0.916666667,30621,29490,934801,0.96,3.6,0.257555664,0.669218123,0.829349756,0.676095307,0.439272285,0.214579731,2.00E+07,21804,37796,1,0,97,0,0,0,0.637943,0,0.343156,0.000964,0,0,0.014849,0,0,0.000525,0,0.002563,6.72
Nebraska,28,2005,282005,92,82,187,10.6,10.8,1.12195122,0.891304348,74265,34696,1.80E+06,0.55,3.9,0.271905392,0.600915849,0.814792871,0.751142085,0.431839854,0.220304489,2.20E+07,66984,58385,1,0,46,40,0,0.279737,0.661635,0,0.027697,0.02552,0,0.00307,0.000985,0.001355,0,1.90E-07,0,0,5.87
Nevada,29,2005,292005,76,80,480,19.9,20.1,0.95,1.052631579,116258,38583,2.40E+06,3.44,4.5,0.375713706,0.626249254,0.917521954,1.34362638,0.539594293,0.274928153,2.60E+07,48403,43578,1,0,41,37,0,0,0.457164,0.0314,0.042333,0.468388,0,0,0.00051,0,0,0.000206,0,0,9.02
New Hampshire,30,2005,302005,73,70,162,12.4,11.8,1.042857143,0.95890411,55924,39284,1.30E+06,0.67,3.6,0.293163806,0.552024007,0.815884769,0.836385548,0.437404692,0.192778632,8.20E+06,46948,11178,0,0,69,46,0,0.386427,0.166448,0,0.073515,0.277267,0,0,0.055462,0.006382,0.002389,0,0,0.03211,12.53
New Jersey,31,2005,312005,78,84,536,6.1,6,0.928571429,1.076923077,445238,44748,8.60E+06,0.12,4.5,0.33502087,0.577320933,0.882792175,1.044872999,0.472015887,0.179424405,2.10E+07,64741,34852,0,21,43,42,100,0.518446,0.191998,0,0.000514,0.253778,0,0,0.015532,0.014449,0.008879,0.001072,-0.004669,0,10.89
New Mexico,32,2005,322005,80,82,342,17.7,17.7,0.975609756,1.025,74207,29102,1.90E+06,1.31,5.2,0.256785512,0.647434652,0.823048711,0.650240004,0.43380174,0.203504294,3.30E+07,27914,69498,0,0,62,46,0,0,0.852332,0,0.004696,0.119173,0,0.022616,0.00105,0.000132,0,0,0,0,7.51
New York,33,2005,332005,83,84,1189,6.2,6,0.988095238,1.012048193,1.00E+06,41578,1.90E+07,0.17,5,0.375900537,0.646464646,0.951618314,1.314931512,0.54717195,0.242213249,6.10E+07,187361,82383,0,31,48,33,94,0.28895,0.140227,0,0.175526,0.216987,0,0.000701,0.163477,0.009243,0.00661,0,-0.005315,0.003593,13.95
North Carolina,34,2005,342005,75,79,1009,11.6,11.5,0.949367089,1.053333333,357241,32296,8.70E+06,1.62,5.3,0.279754817,0.602133632,0.82632488,0.770326018,0.445502907,0.202666402,7.70E+07,482204,106692,1,27,47,42,76,0.308148,0.604521,0,0.041592,0.02435,0,0,0.003999,0.000759,0.002333,0,0.001129,0.013169,7.19
North Dakota,35,2005,352005,96,90,92,14.5,13.7,1.066666667,0.9375,25018,31608,635365,-0.15,3.4,0.245477676,0.607067227,0.786311984,0.607438505,0.405820817,0.200459108,3.30E+07,125532,70346,1,0,0,0,0,0,0.947582,0,0.04202,0.000251,0,0.0069,0.001073,0.000313,0,0.001861,0,0,5.92
Ohio,36,2005,362005,80,79,1341,11.7,11.4,1.012658228,0.9875,466610,32758,1.10E+07,0.09,5.9,0.262234718,0.5728845,0.780190885,0.690010309,0.415401995,0.204061791,1.30E+08,1.10E+06,238292,1,19,49,44,89,0.094299,0.871632,0,0.003285,0.017172,0,0.000085,0.008857,0.00017,0.000015,0.001901,0,0.002584,7.08
Oklahoma,37,2005,372005,76,73,522,14.7,14.7,1.04109589,0.960526316,126206,31174,3.50E+06,0.52,4.5,0.28185463,0.636758566,0.832970083,0.815849721,0.45286563,0.235788122,5.20E+07,106232,84233,1,0,40,33,0,0,0.529219,0,0.038339,0.416719,0,0.012357,0.001025,0,0.000092,0.000275,-0.002242,0.004216,6.85
Oregon,38,2005,382005,74,70,560,15.4,14.8,1.057142857,0.945945946,147752,32564,3.60E+06,1.24,6.2,0.274659812,0.587946177,0.81912148,0.742573321,0.43596068,0.197216153,9.10E+06,13875,14023,0,47,61,77,0,0,0.070278,0,0.627437,0.26743,0,0.014886,0.001585,0.001988,0.000821,0,0,0.015574,6.34
Pennsylvania,39,2005,392005,80,81,1430,11.5,11.1,0.987654321,1.0125,507485,35916,1.20E+07,0.24,5,0.287741095,0.594698012,0.834955931,0.818550408,0.450451046,0.207317099,1.30E+08,1.00E+06,186179,0,24,48,45,89,0.349805,0.554508,0,0.010235,0.049556,0,0.001303,0.022649,0.006225,0.00335,0.002476,-0.00326,0.003152,8.27
Rhode Island,40,2005,402005,87,81,71,6.6,6.3,1.074074074,0.931034483,45079,36539,1.10E+06,-0.6,5.1,0.28512159,0.573746562,0.822984517,0.791028976,0.439954251,0.195706591,2.60E+06,563,2131,0,0,46,48,0,0,0,0,0.001112,0.989443,0,0,0.009444,0,0,0,0,0,11.97
South Carolina,41,2005,412005,71,79,510,12,11.8,0.898734177,1.112676056,143937,29361,4.30E+06,1.31,6.8,0.269343168,0.621981025,0.818808436,0.724321365,0.438049614,0.209689513,4.10E+07,218059,51492,1,0,40,35,0,0.518341,0.387184,0,0.028661,0.052814,0,0,0.006033,0.000855,0.000914,0.000055,-0.011693,0.016836,6.72
South Dakota,42,2005,422005,83,80,121,15.6,15.3,1.0375,0.963855422,31621,3.35E+04,780084,0.75,3.7,0.274835169,0.636625111,0.826497972,0.783899963,0.445756644,0.232657507,3.40E+06,10401,13179,1,0,0,0,0,0,0.459508,0,0.471504,0.041551,0,0.024246,0.003188,0,3.20E-06,0,0,0,6.6
Tennessee,43,2005,432005,74,74,856,14.4,14,1,1,228786,31736,6.00E+06,1.33,5.6,0.286586106,0.622592211,0.834158897,0.829796791,0.455850542,0.224264488,6.10E+07,277893,97265,1,0,39,35,0,0.286284,0.608044,0,0.095859,0.005469,0,0.000034,0.002374,0.000702,0.000089,0.00015,-0.006157,0.007152,6.31
Texas,44,2005,442005,78,78,2418,10.6,10.9,1,1,998092,33203,2.30E+07,1.71,5.4,0.31938538,0.640543342,0.892550051,0.995466828,0.495332927,0.228518814,2.60E+08,548937,246974,1,19,37,37,84,0.096384,0.37401,0,0.003359,0.498313,0,0.010682,0.00399,0.000622,0.002244,0.008248,0,0.002147,9.14
Utah,45,2005,452005,72,69,348,14.1,15.1,1.043478261,0.958333333,94983,29421,2.50E+06,2.49,4.1,0.283179969,0.591664791,0.819786668,0.809027433,0.442947745,0.216575831,3.60E+07,31413,63816,1,0,49,31,0,0,0.942494,0.004842,0.020554,0.030853,0,0,0.001072,0.000103,0.000081,0,0,0,5.92
Vermont,46,2005,462005,79,74,78,12.5,12.2,1.067567568,0.936708861,23524,34523,618814,0.11,3.5,0.268343836,0.593287289,0.812040091,0.714074969,0.429988235,0.200393081,13713,63,484,0,0,100,0,0,0.712213,0,0,0.2118,0.000392,0,0.002009,0.001781,0,0,0,0,0.071805,10.95
Virginia,47,2005,472005,85,92,866,11.4,11.2,0.923913043,1.082352941,357708,39841,7.60E+06,1.27,3.5,0.302293181,0.553902507,0.831845343,0.866533279,0.442874551,0.179236785,4.80E+07,233346,66465,1,38,43,41,83,0.353653,0.44874,0,0.018803,0.105073,0,0,0.054022,0.008806,0.006066,0,-0.017998,0.022835,6.64
Washington,48,2005,482005,77,70,822,13.1,12.7,1.1,0.909090909,296019,37638,6.30E+06,1.24,5.5,0.303362608,0.563275754,0.827674925,0.900021315,0.452414006,0.201959684,1.50E+07,11491,26241,0,35,58,56,83,0.080834,0.102921,0,0.706851,0.084132,0,0.004889,0.00066,0.001867,0.000636,0.003155,0.000083,0.013973,5.87
West Virginia,49,2005,492005,84,87,255,14,13.2,0.965517241,1.035714286,53294,26415,1.80E+06,0.03,4.90E+00,0.227906048,0.602713168,0.748059571,0.511910915,0.38661471,0.187111288,8.60E+07,439754,147736,1,0,0,0,0,0,0.976403,0,0.015461,0.003066,0,0.001644,0.002385,2.70E-06,0.00012,0.000913,0,4.90E-06,5.15
Wisconsin,50,2005,502005,79,81,643,11.6,11.5,0.975308642,1.025316456,227407,34366,5.50E+06,0.55,4.8,0.26826036,0.565248251,0.796747625,0.721771061,0.419115037,0.20507127,5.50E+07,213865,80908,0,0,52,54,82,0.16047,0.674962,0,0.028148,0.103305,0,0.001497,0.012075,0.005641,0.001928,0,0,0.011975,7.48
Wyoming,51,2005,512005,90,80,90,17.7,17.2,1.125,0.888888889,27783,39183,506242,0.65,3.7,0.35328117,0.631295323,0.899509192,1.234164238,0.516368985,0.28710109,4.60E+07,87570,82491,1,0,0,0,0,0,0.951245,0,0.01774,0.007132,0,0.015741,0.000928,0,0.001429,0.005785,0,0,5.16
Alabama,1,2006,12006,79,86,580,12.6,12.4,0.918604651,1.088607595,164820,31616,4.60E+06,1.16,3.5,0.287054807,0.649435639,0.856928289,0.82561183,0.460718066,0.23522003,8.60E+07,457504,122275,1,0,26,36,0,0.226488,0.554373,0,0.051469,0.137742,0,0,0.001279,0.000138,0.000149,0.000931,0,0.027432,7.07
Alaska,2,2006,22006,86,87,135,20.1,20,0.988505747,1.011627907,44835,39135,677325,1.17,6.5,0.267211646,0.574962258,0.821085513,0.679362237,0.413628906,0.190927356,4.60E+06,4199,18023,1,0,59,57,0,0,0.092508,0,0.183334,0.607973,0,0.000118,0.115068,0.000921,0,0,0,0.000077,12.84
Arizona,3,2006,32006,75,80,979,15.9,16,0.9375,1.066666667,247833,34814,6.20E+06,3.64,4.1,0.319074482,0.597179532,0.85464704,0.990806282,0.4769952,0.224460244,5.40E+07,44745,75002,1,27,41,47,79,0.230019,0.387411,0,0.065071,0.31486,0.000126,0,0.000703,0.000308,0,0,0.001423,0.000079,8.24
Arkansas,4,2006,42006,76,82,376,13.4,13.3,0.926829268,1.078947368,99883,29494,2.80E+06,1.4,5.3,0.264667362,0.666874707,0.829331279,0.710380971,0.441894799,0.228614986,2.90E+07,81969,38228,1,0,39,45,0,0.291987,0.463555,0,0.029722,0.17793,0,0,0.003081,0.000641,0.000419,0,0.000282,0.032383,6.99
California,5,2006,52006,86,96,3334,9.1,9.2,0.895833333,1.11627907,1.90E+06,41623,3.60E+07,0.51,4.9,0.355877697,0.62484926,0.925691843,1.17813158,0.513338447,0.217042953,6.00E+07,26537,90597,0,32,47,70,93,0.147412,0.010311,0.05914,0.221622,0.487508,0.002281,0.022522,0.010923,0.010584,0.002141,0.009329,0.000443,0.015785,12.82
Colorado,6,2006,62006,83,80,730,15.4,15.2,1.0375,0.963855422,232381,40611,4.80E+06,1.98,4.3,0.325413316,0.586374342,0.86613065,1.013029814,0.47360301,0.209258541,4.20E+07,58569,65600,1,45,49,71,88,0,0.715397,0,0.035331,0.235089,0,0.017072,0.000411,0.000605,0,0.00005,-0.003955,0,7.61
Connecticut,7,2006,72006,79,82,292,8.3,8,0.963414634,1.037974684,222953,52513,3.50E+06,0.22,4.4,0.410813123,0.623358965,0.970157206,1.487245798,0.553485453,0.215180948,1.10E+07,5404,8953,0,31,49,44,82,0.478334,0.123452,0,0.015682,0.302306,0,0,0.036873,0.021763,0.021297,0.000048,0,0.000246,14.83
Delaware,8,2006,82006,85,94,91,10.7,10.4,0.904255319,1.105882353,55011,40276,853022,1.56,3.5,0.306368619,0.563851416,0.826400876,0.911906958,0.449074149,0.21342811,5.90E+06,30049,11247,0,0,44,0,0,0,0.691825,0,0,0.16301,0,0,0.018367,0.000058,0,0.12674,0,0,10.13
District of Columbia,9,2006,92006,100,100,30,5.2,5.1,1,1,89861,60354,583978,0.33,5.7,0.39536956,0.604303777,0.941373229,1.395885468,0.543022871,0.20596236,100086,327,359,0,99,44,55,90,0,0,0,0,0,0,0,1,0,0,0,0,0,11.08
Florida,10,2006,102006,78,91,2440,13.5,12.6,0.857142857,1.166666667,747470,38693,1.80E+07,1.71,3.3,0.372420788,0.677420974,0.959074557,1.310362577,0.554299474,0.264102608,1.30E+08,329145,211616,1,15,33,39,90,0.140452,0.292393,0,0.000909,0.429879,0,0,0.102364,0.01051,0.014573,0.000076,0,0.008845,10.45
Georgia,11,2006,112006,80,84,923,9.9,10,0.952380952,1.05,393840,34408,9.30E+06,2.56,4.7,0.309992373,0.630809009,0.879242897,0.93215692,0.480823547,0.22001864,9.10E+07,685370,130114,1,18,31,57,90,0.231909,0.626794,0,0.018613,0.09391,0,0,0.006045,0.000411,0.000856,0,-0.002901,0.024362,7.63
Hawaii,12,2006,122006,84,94,120,9.3,9.2,0.893617021,1.119047619,61608,37883,1.30E+06,0.75,2.5,0.282782346,0.573896706,0.812099993,0.784682155,0.43400684,0.209455013,9.10E+06,21887,28781,0,0,52,83,0,0,0.133971,0.018364,0.010389,0,0,0.006893,0.783315,0.028176,0.015193,0.003699,0,0,20.72
Idaho,13,2006,132006,85,79,222,15.1,15.6,1.075949367,0.929411765,51632,32035,1.50E+06,2.7,3,0.291636765,0.635200262,0.854274452,0.860178709,0.461264223,0.236815706,881629,4540,1990,1,0,56,52,0,0,0.006148,0,0.839855,0.096996,0,0.012671,0.000011,0,0.005447,0,0,0.038872,4.92
Illinois,14,2006,142006,85,84,1010,7.9,7.8,1.011904762,0.988235294,623078,40184,1.30E+07,0.34,4.6,0.33382231,0.609591246,0.88756758,1.068521023,0.491620004,0.221736804,1.00E+08,308968,122332,0,19,39,52,89,0.489298,0.476278,0,0.0009,0.027434,0,0.001323,0.000705,0.003088,0.000199,0.000773,0,0,7.07
Indiana,15,2006,152006,83,78,824,13.1,13,1.064102564,0.939759036,257635,33073,6.30E+06,0.78,5,0.265523672,0.59006238,0.80772686,0.701655149,0.420113325,0.213955536,1.20E+08,758163,201523,1,0,43,60,97,0,0.947549,0,0.003751,0.020552,0,0,0.001131,0.001688,0.003333,0.021995,0,0,6.46
Iowa,16,2006,162006,89,78,334,11.2,11.1,1.141025641,0.876404494,128085,34567,3.00E+06,0.51,3.7,0.256042004,0.56854409,0.782236934,0.649973273,0.40455696,0.203664139,4.10E+07,132375,64087,0,0,49,54,0,0.112028,0.756433,0,0.019993,0.052767,0,0.05096,0.00458,0.00301,0.000229,0,0,0,7.01
Kansas,17,2006,172006,78,80,379,13.7,13.8,0.975,1.025641026,112464,35989,2.80E+06,0.51,4.4,0.287126571,0.595408022,0.833469689,0.813625753,0.445172995,0.215337262,3.60E+07,100911,74012,1,0,38,51,0,0.205393,0.731077,0,0.000212,0.040405,0,0.021788,0.001123,0,0,0,0,0,6.89
Kentucky,18,2006,182006,69,89,622,14.8,14.6,0.775280899,1.289855072,152470,30682,4.20E+06,0.89,5.9,0.261951357,0.631161392,0.820535302,0.687019646,0.427932411,0.217933178,9.40E+07,390773,157793,1,0,48,51,0,0,0.923136,0,0.026234,0.01191,0,0,0.033817,0.000905,0.000219,0.000039,0,0.003739,5.43
Louisiana,19,2006,192006,79,97,492,11.5,11.6,0.81443299,1.227848101,207963,33187,4.20E+06,-5.72,3.9,0.289499611,0.672381938,0.879771769,0.837266207,0.470530361,0.235074788,5.50E+07,125309,89565,1,0,33,36,0,0.184064,0.26831,0,0.007844,0.461202,0,0,0.02059,0.000896,0.007869,0.017539,0,0.031686,8.3
Maine,20,2006,202006,71,68,158,12,11,1.044117647,0.957746479,48134,34106,1.30E+06,0.25,4.7,0.261128187,0.604880214,0.801827669,0.680351198,0.420805514,0.210472167,5.70E+06,17105,10332,0,100,73,51,0,0,0.019104,0,0.254406,0.433978,0,0,0.035379,0.016831,0.02119,0,0,0.219112,11.8
Maryland,21,2006,212006,86,94,495,8.8,8.6,0.914893617,1.093023256,278616,46370,5.60E+06,0.53,3.8,0.317120433,0.546384215,0.834921718,0.948763788,0.442496985,0.187836871,3.10E+07,270873,62063,0,42,39,61,94,0.282502,0.600692,0,0.042982,0.036158,0,0,0.011862,0.008336,0.006223,0.006791,0,0.004454,9.95
Massachusetts,22,2006,222006,84,78,450,7,6.7,1.076923077,0.928571429,361077,47961,6.50E+06,0.21,4.8,0.359106004,0.594058096,0.902953148,1.194752216,0.500084281,0.205909774,2.40E+07,48909,22331,0,42,41,56,100,0.12785,0.244274,0,0.033174,0.511136,0,0,0.051061,0.025299,0.017156,0,-0.012696,0.002747,15.45
Michigan,23,2006,232006,82,81,1139,11.3,11.1,1.012345679,0.987804878,397304,33851,1.00E+07,-0.08,6.9,0.273132741,0.595972896,0.833979309,0.726457715,0.429807901,0.206464499,7.70E+07,326507,113088,0,26,42,56,92,0.258236,0.602187,0,0.013507,0.101371,0,0.00002,0.003571,0.006546,0.004998,0.003663,-0.009233,0.015135,8.14
Minnesota,24,2006,242006,81,76,554,10.7,10.6,1.065789474,0.938271605,251451,39587,5.10E+06,0.82,4.1,0.30065608,0.570292056,0.828593194,0.882395864,0.44822669,0.205983326,3.80E+07,94420,85198,0,35,53,80,71,0.247633,0.621184,0,0.010739,0.048101,0,0.038599,0.009283,0.007781,0.005604,0,0,0.011076,6.98
Mississippi,25,2006,252006,74,91,325,11.2,11.4,0.813186813,1.22972973,87293,28019,2.90E+06,-0.1,6.8,0.258009821,0.707440734,0.834403157,0.678653359,0.447717696,0.232496887,2.60E+07,82053,45349,1,0,28,0,0,0.22537,0.391646,0,0,0.339741,0,0,0.008625,0.00014,0.000337,0.000946,0,0.033196,8.33
Missouri,26,2006,262006,82,83,799,13.7,13.5,0.987951807,1.012195122,234590,34429,5.90E+06,0.95,4.80E+00,0.282768786,0.619018972,0.840684712,0.798447073,0.447771877,0.225368187,8.00E+07,259635,107586,1,20,37,60,75,0.11034,0.844723,0,0.002173,0.040676,0,0,0.000666,0.00026,0.000587,0.000056,0.000519,1.10E-06,6.3
Montana,27,2006,272006,80,71,189,20,19.7,1.126760563,0.8875,32875,31465,946230,1.22,3.2,0.269621193,0.664264083,0.848719656,0.734981298,0.44677794,0.224439278,1.90E+07,21776,37902,1,0,67,65,0,0,0.60492,0,0.358672,0.002393,0,0.015436,0.01484,0,0,0.000397,0,0.003343,6.91
Nebraska,28,2006,282006,89,85,202,11.4,11.2,1.047058824,0.95505618,78355,36003,1.80E+06,0.5,3,0.282401145,0.605295897,0.828538656,0.805105448,0.441343099,0.230356023,2.20E+07,65101,61305,1,0,42,53,0,0.284265,0.653065,0,0.028209,0.02396,0,0.008249,0.00061,0.001642,0,0,0,0,6.07
Nevada,29,2006,292006,73,86,486,19.5,19.5,0.848837209,1.178082192,125205,39841,2.50E+06,3.51,4.2,0.37856254,0.62804544,0.920052469,1.355987549,0.539005876,0.277285486,1.70E+07,8395,30608,1,0,32,45,0,0,0.227668,0.042175,0.064583,0.664913,0,0,0.000544,0,0,0.000116,0,0,9.63
New Hampshire,30,2006,302006,77,71,151,11.5,11,1.084507042,0.922077922,58302,41663,1.30E+06,0.81,3.5,0.303777188,0.561973929,0.830954313,0.892054021,0.444258928,0.202109292,7.10E+06,37091,9152,0,0,57,61,0,0.425942,0.176101,0,0.069295,0.272239,0,0,0.019906,0.007089,0.002688,0,0,0.02674,13.84
New Jersey,31,2006,312006,79,88,585,6.7,6.5,0.897727273,1.113924051,469640,48058,8.60E+06,0.02,4.6,0.347639412,0.585826755,0.896670103,1.113997698,0.479218572,0.188093603,2.00E+07,56385,28177,0,20,38,52,93,0.536537,0.178944,0,0.000584,0.258127,0,0.000263,0.00444,0.01484,0.009367,0.001817,-0.004919,0,11.88
New Mexico,32,2006,322006,82,83,352,18,18,0.987951807,1.012195122,77716,30625,1.90E+06,1.36,4.1,0.269523054,0.652076542,0.843435884,0.716849089,0.445542037,0.217392534,3.40E+07,28295,71945,0,0,55,48,0,0,0.801248,0,0.005319,0.158044,0,0.033689,0.001113,0.000587,0,0,0,0,7.37
New York,33,2006,332006,84,86,1326,6.9,6.6,0.976744186,1.023809524,1.10E+06,44888,1.90E+07,0.13,4.6,0.394334525,0.65733546,0.973348856,1.417395353,0.562286198,0.251556009,5.10E+07,121872,64044,0,31,44,42,92,0.296797,0.147385,0,0.192209,0.296164,0,0.004607,0.047644,0.009977,0.006865,0,-0.005315,0.003668,15.27
North Carolina,34,2006,342006,77,82,1106,12.5,12.2,0.93902439,1.064935065,383966,33808,8.90E+06,2.28,4.8,0.290228456,0.616301417,0.846745014,0.824851274,0.457149595,0.213778436,7.40E+07,447326,100045,1,26,39,54,81,0.319157,0.60286,0,0.030659,0.025521,0,0,0.003603,0.000733,0.002549,0,0.001049,0.013869,7.53
North Dakota,35,2006,352006,89,87,90,14.2,13.6,1.022988506,0.97752809,26801,32888,636771,0.22,3.2,0.257235587,0.605562508,0.802955151,0.665981054,0.414159924,0.212621689,3.20E+07,118664,68059,1,0,52,0,0,0,0.935166,0,0.049254,0.000229,0,0.011965,0.001363,0.000115,0,0.001909,0,0,6.21
Ohio,36,2006,362006,83,83,1325,11.5,11.2,1,1,480382,34422,1.10E+07,0.15,5.4,0.26996994,0.58573252,0.797499001,0.728675187,0.424603969,0.214792266,1.30E+08,969940,224317,1,21,40,54,75,0.108386,0.858243,0,0.004066,0.015306,0,0.000093,0.008715,0.00022,0.000018,0.002316,0,0.002638,7.71
Oklahoma,37,2006,372006,75,81,537,15,15,0.925925926,1.08,138916,33755,3.60E+06,1.18,4.1,0.296967,0.645788789,0.858452082,0.895847321,0.467730969,0.248976171,5.30E+07,109985,84463,1,0,34,35,0,0,0.4961,0,0.008831,0.46705,0,0.02425,0.000903,0,0.000077,0.000229,-0.001649,0.00421,7.3
Oregon,38,2006,382006,76,73,579,15.6,15.2,1.04109589,0.960526316,163182,34666,3.70E+06,1.65,5.3,0.284931779,0.593256891,0.831720769,0.794664562,0.44418475,0.206407875,7.20E+06,11256,12394,0,47,48,100,83,0,0.044443,0,0.709595,0.210695,0,0.017458,0.000222,0.001856,0.000756,0,0,0.014975,6.53
Pennsylvania,39,2006,392006,85,86,1396,11.2,10.8,0.988372093,1.011764706,533796,38096,1.20E+07,0.43,4.5,0.29949531,0.606761277,0.852796197,0.881447494,0.461645126,0.218776181,1.30E+08,839057,175956,0,24,44,56,96,0.344121,0.560107,0,0.012998,0.061888,0,0.00165,0.00694,0.006529,0.003302,0.002534,-0.003191,0.003122,8.68
Rhode Island,40,2006,402006,81,79,90,8.4,8.1,1.025316456,0.975308642,47530,38838,1.10E+06,-0.45,5.1,0.294560373,0.589940071,0.841769457,0.840859354,0.449123234,0.207486883,2.50E+06,820,3013,0,0,40,61,0,0,0,0,0.00099,0.968581,0,0,0.005475,0.024953,0,0,0,0,13.98
South Carolina,41,2006,412006,73,84,524,12.1,11.9,0.869047619,1.150684932,152084,31117,4.30E+06,1.95,6.4,0.280240744,0.638599098,0.842758715,0.781424582,0.45169425,0.223290592,4.10E+07,218658,49251,1,0,33,46,0,0.511722,0.397641,0,0.018203,0.061128,0,0,0.002387,0.001068,0.000956,1.60E-07,-0.011282,0.018177,6.98
South Dakota,42,2006,422006,84,79,125,16,16,1.063291139,0.94047619,32489,3.39E+04,788519,1.08,3.1,0.285769165,0.63935709,0.8449229,0.838052928,0.454123169,0.240877837,3.60E+06,11592,13949,1,0,48,0,0,0,0.464918,0,0.476264,0.03727,0,0.020886,0.000653,0,8.00E-06,0,0,0,6.7
Tennessee,43,2006,432006,74,81,874,14.5,14.2,0.913580247,1.094594595,239515,33125,6.10E+06,1.56,5.2,0.296203375,0.642082691,0.857451499,0.881348014,0.468902588,0.236635655,6.20E+07,270258,99906,1,0,32,46,84,0.262789,0.644203,0,0.08251,0.007073,0,0.000581,0.001706,0.00062,0.000049,0.000145,-0.007108,0.007431,6.97
Texas,44,2006,442006,83,84,2347,10,10.3,0.988095238,1.012048193,1.10E+06,35469,2.30E+07,2.49,4.9,0.333435804,0.644621193,0.906120181,1.071568727,0.506234348,0.237061307,2.60E+08,558350,260057,1,14,33,46,84,0.103011,0.365446,0,0.001653,0.493956,0,0.016652,0.004466,0.000638,0.002469,0.009482,0,0.002227,10.34
Utah,45,2006,452006,83,76,362,14.2,15.8,1.092105263,0.915662651,106720,31780,2.60E+06,3.36,2.9,0.298781037,0.590624452,0.831007838,0.892545342,0.455108941,0.227204904,3.70E+07,33912,69463,1,0,45,47,0,0,0.893179,0.004619,0.018098,0.08212,0,0,0.001506,0.00036,0.000117,0,0,0,5.99
Vermont,46,2006,462006,84,66,81,13,12,1.272727273,0.785714286,24330,36760,619985,0.19,3.7,0.280864537,0.602937341,0.830707848,0.780792773,0.442283183,0.213314906,10266,42,484,0,0,100,72,0,0.720818,0,0,0.214369,0.000265,0,0.001509,0.00104,0,0,0,0,0.061999,11.37
Virginia,47,2006,472006,88,94,876,11.5,11.1,0.936170213,1.068181818,375955,42085,7.60E+06,1.1,3,0.311886907,0.563046157,0.846356392,0.91625011,0.447783232,0.187072203,4.30E+07,197154,58728,1,37,37,50,87,0.377634,0.469254,0,0.018492,0.098748,0,0,0.011485,0.009284,0.00672,0,-0.015977,0.024361,6.86
Washington,48,2006,482006,84,76,809,12.6,12.3,1.105263158,0.904761905,315275,40127,6.40E+06,1.77,4.9,0.316247135,0.568340242,0.840727866,0.968057036,0.459913194,0.209702522,1.00E+07,11466,19953,0,36,46,71,91,0.086211,0.058897,0,0.757904,0.069272,0,0.00959,0.000353,0.001701,0.000575,0.003222,0.000435,0.011841,6.14
West Virginia,49,2006,492006,91,83,269,14.8,14.1,1.096385542,0.912087912,56666,28258,1.80E+06,0.18,4.5,0.235717446,0.637137413,0.783509791,0.551095545,0.400043428,0.205028415,8.60E+07,427857,139571,1,0,46,0,0,0,0.975031,0,0.016761,0.003857,0,0.001852,0.001864,3.20E-06,0.000069,0.000563,0,0,5.04
Wisconsin,50,2006,502006,84,80,670,12.1,11.9,1.05,0.952380952,237020,36282,5.60E+06,0.55,4.7,0.276944458,0.575414658,0.810846269,0.765857935,0.427037716,0.215780944,4.90E+07,208119,76979,0,28,44,62,87,0.198468,0.650821,0,0.027232,0.086932,0,0.001645,0.014231,0.006333,0.001784,0,0,0.012555,8.13
Wyoming,51,2006,512006,80,81,116,22.5,21.7,0.987654321,1.0125,33075,44344,512841,1.3,3.2,0.376449466,0.63031286,0.916060448,1.357381582,0.534387112,0.291367799,4.60E+07,83944,81682,1,0,53,0,0,0,0.944746,0,0.018575,0.011041,0,0.016719,0.001012,0,0.00108,0.006827,0,0,5.27
Alabama,1,2007,12007,75,79,592,12.8,12.5,0.949367089,1.053333333,169689,32777,4.60E+06,0.87,4.6,0.285225809,0.649461508,0.861299455,0.810045063,0.465230078,0.242031693,8.80E+07,448864,120885,1,18,41,47,100,0.238657,0.542278,0,0.028758,0.161527,0,0,0.001091,0.000116,0.000025,0.00124,0,0.026309,7.57
Alaska,2,2007,22007,93,79,149,21.8,22.1,1.17721519,0.849462366,49194,41723,682297,0.73,2.60E+00,0.271184802,0.562496066,0.816084683,0.697017372,0.414358497,0.196693376,4.30E+06,4290,17205,1,91,66,66,0,0,0.094029,0,0.18929,0.566972,0,0.000148,0.148062,0.001495,0,0,0,3.20E-06,13.28
Arizona,3,2007,32007,82,81,1016,16,16.1,1.012345679,0.987804878,262380,35860,6.40E+06,2.75,2.7,0.30846107,0.602489769,0.854546964,0.927684367,0.473376364,0.22973758,5.60E+07,51393,78719,1,27,51,51,71,0.236299,0.36417,0,0.058211,0.339411,0.000076,0,0.000435,0.000291,0,0,0.001106,0,8.54
